Year,Month,Arrivals
2015,Aug,38606
2015,Sep,39050
2015,Oct,56584
2015,Nov,58304
2015,Dec,45467
2016,Jan,42235
2016,Feb,60821
2016,Mar,76444
2016,Apr,60214
2016,May,46683
2016,Jun,38852
2016,Jul,48115
2016,Aug,66341
2016,Sep,74670
2016,Oct,89281
2016,Nov,72990
2016,Dec,76356
2017,Jan,62632
2017,Feb,84061
2017,Mar,106291
2017,Apr,88591
2017,May,62773
2017,Jun,55956
2017,Jul,42240
2017,Aug,73778
2017,Sep,68634
2017,Oct,112492
2017,Nov,99804
2017,Dec,82966
2018,Jan,73187
2018,Feb,89507
2018,Mar,124686
2018,Apr,98650
2018,May,68825
2018,Jun,65159
2018,Jul,73281
2018,Aug,87679
2018,Sep,91874
2018,Oct,130745
2018,Nov,147859
2018,Dec,121620
